id_restaurant,label,food_type,review
1,sparky's diner,24 hour diner,2.3
2,kabul afghan cuisine,afghani,3.8
3,helmand restaurant,afghani,4
4,afghani house,afghani,3.6
5,kabul afghan cusine,afghani,3.7
6,bamyan afghan restaurant,afghani,2.8
7,kabul palace,afghani,2.8
8,kandahar,afghani,3.5
9,kabobs house,afghani,2.7
10,massawa restaurant,african,3.4
11,new eritrea restaurant & bar,african,3
12,"ola's african,carbbean, cajun restaurant",african,2.3
13,sum-yun chick,all ethnic,3.6
14,alameda grill,american,2.3
15,ann's lounge & hofbrau,american,2
16,lyon's restaurant,american,2.3
17,casablanca bar & grill,american,2
18,monterey restaurant,american,2.3
19,lyons restaurant,american,2
20,bob eatery,american,2
21,morgan's grill,american,2.3
22,papa's family restaurant,american,2
23,ann kong's world famous bleach bottle pig farm,american,1.8
24,au-coquelet,american,2.6
25,gilman grill,american,2
26,rick & ann's,american,3.5
27,shattuck avenue spats,american,2.6
28,brooks ranch restaurant,american,2
29,the silver skillet,american,2
30,calistoga roastery,american,2.3
31,the silverado restaurant-taver,american,2.3
32,denny's,american,2
33,denny's,american,1.7
34,lyon's castro valley 442,american,2
35,special continental cuisine,american,1.8
36,andys restaurant,american,2
37,cocos 873,american,2
38,denny's restaurant,american,2
39,legends-sports restaurant inc,american,2.3
40,lyons restaurant,american,2
41,marie callender's no,american,2.3
42,peppermill inc,american,2.8
43,chuck e cheese,american,2
44,hobee's restaurant,american,3.3
45,hobee's santa cruz,american,2
46,marriott family restaurants,american,2
47,paul's family restaurant,american,2
48,t g i fridays,american,1.8
49,tgi fridays,american,2
50,the good earth,american,2.3
51,hungry hunter,american,2
52,cocos 874,american,2
53,denny's restaurant,american,2
54,lyons restaurant,american,2
55,virtual world,american,2
56,carrows hickory chip restauran,american,2
57,cocos 872,american,2
58,copper skillet pantry dublin,american,1.7
59,dublin buffet,american,2.3
60,carrows hickory chip restauran,american,2
61,kirby's family restaurant,american,2
62,blake's restaurant,american,2
63,denny's restaurant,american,2.3
64,lyons restaurant,american,2
65,townhouse bar & grill,american,3.1
66,denny's,american,2
67,denny's,american,1.7
68,denny's restaurant,american,2
69,hickey's brass rail,american,2
70,johnnie gourmet restaurant cocktails,american,2
71,lyons restaurant,american,2
72,chili's,american,2
73,denny's,american,1.3
74,denny's restaurant,american,2
75,dina's family restaurant,american,3
76,dino's family restaurant,american,2.3
77,harvest farm buffet,american,2
78,hungry hunter,american,2.5
79,lyons restaurant,american,2.4
80,marie callender,american,2.3
81,star family restaraunt,american,2.7
82,carrows hickory chip restauran,american,2
83,denny's restaurant,american,2
84,lyons restaurant,american,2
85,lyons restaurant,american,2
86,ernies family restaurant,american,2
87,johnnies bar & grill,american,2
88,hungry hunter,american,2.8
89,killarney house,american,2
90,papasan catering,american,2
91,peppers bar & grill,american,3.3
92,lyons restaurant,american,2.3
93,mc kay's bar & grill,american,2
94,pine street grill,american,2
95,emil villa's hick'ry pit restaurant,american,2
96,marie callender pie shop,american,2.4
97,los gatos brewing co.,american,3.3
98,the good earth,american,1.7
99,carrows restaurant,american,1.8
100,joes martinez bar & grill,american,2
101,denny's,american,2
102,hungry hunter,american,3.3
103,marie callender's,american,2.3
104,marie callender's pie shops,american,2
105,mushrooms grille & bar,american,2.7
106,marriott family restaurants,american,2
107,denny's napa valley east,american,2
108,henry's,american,2
109,lyons restaurant,american,2
110,marie callender's,american,2.3
111,o'sullivan's,american,2
112,old adobe bar & grill,american,2
113,zapata bar and grill,american,2.3
114,lyons restaurant,american,2.3
115,red robin international inc,american,2
116,carrows hickory chip restauran,american,2
117,crogan's montclair,american,2.7
118,denny's restaurant,american,2
119,denny's restaurant 296,american,2
120,family affair,american,2
121,g gs family restaurant,american,2
122,garys grill & bar,american,2.7
123,golden bull restaurant,american,2
124,grand oaks restaurant,american,2
125,hunan restaurant,american,2
126,hungry hunter,american,2
127,hungry hunter,american,2
128,ike's rotisserie,american,2.7
129,jack's restaurant & bar,american,2.7
130,l j quinn's lighthouse,american,2.3
131,mac's bar & grill,american,2.3
132,montclair restaurant,american,2
133,overland house grill,american,2
134,soul brothers kitchen,american,2
135,cookbook restaurant,american,3
136,left at albuquerque,american,3
137,macarthur park restaurant,american,2.4
138,peninsula fountain,american,2.6
139,q cafe billiards,american,2.5
140,stars palo alto,american,2.6
141,sundance mine company,american,3.5
142,the good earth,american,2.2
143,webster grill,american,2
144,the persimmon tree restraunt,american,2.7
145,tommy's,american,2
146,snooker pete's bar & grill,american,2
