"id_rest","street_num","street_name","city"
1,242,"church st","san francisco"
2,135,"el camino real","san carlos"
3,430,"broadway","san francisco"
4,1103,"e. el camino real","sunnyvale"
5,833,"w. el camino real","sunnyvale"
6,NA,"","san rafael"
7,155,"san fernando","san jose"
8,2118,"mt diablo st","concord"
9,3005,"alamo drive (corner nut tree)","vacaville"
11,907,"irving","san francisco"
12,10905,"wolfe rd. cupertino","cupertino"
13,4857,"fremont blvd","fremont"
14,1520,"park st","alameda"
15,1231,"park st","alameda"
16,2375,"shoreline dr","alameda"
17,979,"san pablo ave","albany"
18,1477,"solano ave","albany"
19,2009,"somersville rd","antioch"
20,511,"claverie way","benicia"
21,1034,"1st st","benicia"
22,NA,"2nd st","benicia"
23,2072,"san pablo ave.","berkeley"
24,2000,"university ave","berkeley"
25,1300,"4th st","berkeley"
26,2922,"domingo ave","berkeley"
27,1974,"shattuck ave","berkeley"
28,1135,"2nd st","brentwood"
29,8300,"brentwood blvd # a","brentwood"
30,1631,"lincoln ave","calistoga"
31,1374,"lincoln ave","calistoga"
32,580,"w hamilton ave","campbell"
33,2060,"s bascom ave","campbell"
34,3240,"castro valley blvd","castro valley"
35,3774,"castro valley blvd","castro valley"
36,1089,"oak grove rd","concord"
37,4391,"treat blvd","concord"
38,1313,"willow pass rd","concord"
39,4050,"port chicago hwy","concord"
40,4301,"clayton rd","concord"
41,2090,"diamond blvd","concord"
42,1100,"concord ave","concord"
43,NA,"","cupertino"
44,21267,"stevens creek blvd","cupertino"
45,10215,"anthony pl","cupertino"
46,10145,"n de anza blvd","cupertino"
47,10700,"s de anza blvd","cupertino"
48,10343,"n wolfe rd","cupertino"
49,10343,"n wolfe rd","cupertino"
50,20807,"stevens creek blvd","cupertino"
51,371,"gellert blvd","daly city"
52,387,"diablo rd","danville"
53,807,"camino ramon","danville"
54,185,"railroad","danville"
55,117,"town and country dr ste a","danville"
56,7505,"dublin blvd","dublin"
57,7944,"dublin blvd","dublin"
58,7265,"amador valley blvd","dublin"
59,7783,"amador valley blvd","dublin"
60,6120,"potrero ave","el cerrito"
61,10,"el cerrito plz","el cerrito"
62,4006,"granada rd","el sobrante"
63,1776,"powell st","emeryville"
64,5750,"christie ave","emeryville"
65,5862,"doyle st","emeryville"
66,260,"pittman rd","fairfield"
